lk_id,lk,bundesland,population,population_male,population_female,lk_movement
1001,Stadt Flensburg,Schleswig-Holstein,89934,44797,45137,Flensburg
1002,Landeshauptstadt Kiel,Schleswig-Holstein,246601,120045,126556,Kiel
1003,Hansestadt Lübeck,Schleswig-Holstein,215846,103623,112223,Lübeck
1004,Stadt Neumünster,Schleswig-Holstein,79905,39558,40347,Neumünster
1051,Dithmarschen,Schleswig-Holstein,133251,65711,67540,Kreis Dithmarschen
1053,Herzogtum Lauenburg,Schleswig-Holstein,199152,97730,101422,Kreis Herzogtum Lauenburg
1054,Nordfriesland,Schleswig-Holstein,167147,81789,85358,Kreis Nordfriesland
1055,Ostholstein,Schleswig-Holstein,201487,97171,104316,Kreis Ostholstein
1056,Pinneberg,Schleswig-Holstein,317085,155554,161531,Kreis Pinneberg
1057,Plön,Schleswig-Holstein,129353,62674,66679,Kreis Plön
1058,Rendsburg-Eckernförde,Schleswig-Holstein,274765,135219,139546,Kreis Rendsburg-Eckernförde
1059,Schleswig-Flensburg,Schleswig-Holstein,202647,100209,102438,Kreis Schleswig-Flensburg
1060,Segeberg,Schleswig-Holstein,278007,137269,140738,Kreis Segeberg
1061,Steinburg,Schleswig-Holstein,130706,64570,66136,Kreis Steinburg
1062,Stormarn,Schleswig-Holstein,244989,119730,125259,Kreis Stormarn
2000,Freie und Hansestadt Hamburg,Hamburg,1852478,906933,945545,Hamburg
3101,Stadt Braunschweig,Niedersachsen,248561,123229,125332,Braunschweig
3102,Stadt Salzgitter,Niedersachsen,103866,51606,52260,Salzgitter
3103,Stadt Wolfsburg,Niedersachsen,123840,61654,62186,Wolfsburg
3151,Gifhorn,Niedersachsen,177227,88590,88637,Landkreis Gifhorn
3153,Goslar,Niedersachsen,134688,66826,67862,Landkreis Goslar
3154,Helmstedt,Niedersachsen,91518,45394,46124,Landkreis Helmstedt
3155,Northeim,Niedersachsen,131772,64988,66784,Landkreis Northeim
3157,Peine,Niedersachsen,135844,67280,68564,Landkreis Peine
3158,Wolfenbüttel,Niedersachsen,119361,59102,60259,Landkreis Wolfenbüttel
